Nr.  	Status	Compiled instruction                                      	Bytecodes (hex)                                               	Disassembled to                                           
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    1	OK    	ABS F12                                                   	80, 00, 0C                                                    	ABS F12                                                   
    2	OK    	ABS F6, F11                                               	80, 01, 06, 0B                                                	ABS F6, F11                                               
    3	OK    	ADD (0x1896C4), OPQR                                      	02, 35, 18, 96, C4, 0E                                        	ADD (0x1896C4), OPQR                                      
    4	OK    	ADD (0x1FBADF), 0x63                                      	02, 28, 1F, BA, DF, 63                                        	ADD (0x1FBADF), 0x63                                      
    5	OK    	ADD (0x3DEC03), (0x4AB7E6)                                	02, 52, 3D, EC, 03, 4A, B7, E6                                	ADD (0x3DEC03), (0x4AB7E6)                                
    6	OK    	ADD (0x512544), U                                         	02, 2C, 51, 25, 44, 14                                        	ADD (0x512544), U                                         
    7	OK    	ADD (0x6C2BAD), F9                                        	02, 50, 09, 6C, 2B, AD                                        	ADD (0x6C2BAD), F9                                        
    8	OK    	ADD (LMN), Q                                              	02, 3A, 0B, 10                                                	ADD (LMN), Q                                              
    9	OK    	ADD (STU), F10                                            	02, 51, 0A, 12                                                	ADD (STU), F10                                            
   10	OK    	ADD (VWX), 0x45                                           	02, 36, 15, 45                                                	ADD (VWX), 0x45                                           
   11	OK    	ADD (VWX), LMNO                                           	02, 43, 15, 0B                                                	ADD (VWX), LMNO                                           
   12	OK    	ADD ABC, L                                                	02, 0F, 00, 0B                                                	ADD ABC, L                                                
   13	OK    	ADD BCDE, P                                               	02, 1C, 01, 0F                                                	ADD BCDE, P                                               
   14	OK    	ADD C, F2                                                 	02, 4A, 02, 02                                                	ADD C, F2                                                 
   15	OK    	ADD CDEF, GHI                                             	02, 1E, 02, 06                                                	ADD CDEF, GHI                                             
   16	OK    	ADD DEF, 0x37                                             	02, 0C, 03, 37                                                	ADD DEF, 0x37                                             
   17	OK    	ADD E, (0x4D5925)                                         	02, 02, 04, 4D, 59, 25                                        	ADD E, (0x4D5925)                                         
   18	OK    	ADD EF, (0x355A34)                                        	02, 08, 04, 35, 5A, 34                                        	ADD EF, (0x355A34)                                        
